Nombre,Puntuacion,Precio,Estrellas,Llaves,Direccion,web,zona,Nombre_norm
Catalonia El Pilar,9.0,150.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,catalonia pilar
Hostal Plaza Boutique - Solo adultos,8.7,75.0,0,,"Centro histórico, Zaragoza",Booking,Zaragoza,plaza solo adultos
Casa Palacio de los Sitios,8.7,70.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,casa palacio sitios
NH Sport,8.3,62.0,3,,"Delicias, Zaragoza",Booking,Zaragoza,nh sport
Hotel Tibur,8.0,77.0,3,,"Centro histórico, Zaragoza",Booking,Zaragoza,tibur
Ibis Styles Zaragoza Centro,8.3,74.0,3,,"Centro histórico, Zaragoza",Booking,Zaragoza,ibis styles centro
Hotel Palafox,8.6,186.0,5,,"Centro histórico, Zaragoza",Booking,Zaragoza,palafox
INNSiDE by Meliá Zaragoza,8.7,130.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,innside
Silken Casa Platerias Siglo XV,8.9,99.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,silken casa platerias siglo xv
Hotel Oriente,8.5,88.0,3,,"Centro histórico, Zaragoza",Booking,Zaragoza,oriente
Cesaraugusta,7.9,77.0,3,,"Centro, Zaragoza",Booking,Zaragoza,cesaraugusta
B&B HOTEL Zaragoza Centro,8.4,68.0,2,,"Arrabal, Zaragoza",Booking,Zaragoza,b&b centro
Hotel Hispania,8.0,65.0,2,,"Centro histórico, Zaragoza",Booking,Zaragoza,hispania
Precioso piso-apartamento en barrio de Zaragoza,8.0,60.0,3,,Zaragoza,Booking,Zaragoza,precioso piso
PENSION MIRAFLORES,7.7,40.0,0,,"Centro, Zaragoza",Booking,Zaragoza,miraflores
Apartamentos Zaragoza Gran Vía 3000,9.0,120.0,4,,"Centro, Zaragoza",Booking,Zaragoza,gran via
Habitacion E,6.3,35.0,0,,"Delicias, Zaragoza",Booking,Zaragoza,habitacion e
EXCLUSIVO TAPAS EL TUBO CHECKIN 24H Centro 1,9.4,157.0,4,,"Centro histórico, Zaragoza",Booking,Zaragoza,exclusivo tapas tubo checkin h centro
